ILL	频率
S42.402	78
I47.201	78
M80500/0	78
421.006	78
617.001	77
F44.901	77
C15.401	77
Z98.815	77
367.901	77
616.202	77
455.401	77
M50.301	77
117.901	77
Z90.701	77
W13.901	77
I51.901	77
I00  03	77
H16.901	77
924.201	76
824.801	76
721.901	76
Z98.871	76
I72.901	76
812.301	76
842.104	76
K27.901	76
B16.902	76
S84.102	76
K62.602	75
C37  01	75
490  01	75
989.301	75
998.805	75
410  02	75
I05.101	75
803.001	75
E21.101	75
N73.301	75
O35.901	75
C18.201	74
G82.201	74
N76.001	74
157.001	74
O03.905	74
424.101	74
C49.901	74
D61.901	74
615.904	74
J70.001	74
R90.003	74
455.001	74
C79.826	74
969.402	74
E66.902	74
K85.901	74
790.201	74
686.905	74
I61.401	73
805.001	73
S51.903	73
K50.002	73
N97.901	73
D69.001	73
C91.101 M98230/3	73
Z98.853	73
573.905	73
M71.991	73
S00.805	73
S85.102	73
586  02	73
I67.203	72
957.902	72
648.910	72
R02  07	72
S82.203	72
I50.901	72
601.901	72
X49.906	72
I71.202	72
P08.001	71
431  10	71
666.101	71
434.101	71
N45.901	71
693.001	71
J85.201	71
Z51.004	71
S36.001	71
603.901	71
276.701	71
D32.009	71
871.901	71
511.001	70
S06.901	70
N75.101	70
S52.803	70
780.403	70
J47  03	70
904.502	70
V45.831	70
276.501	70
331.902	70
287.501	70
244.903	70
614.101	70
834.002	70
W20.901	69
O00.805	69
616.101	69
250.102	69
821.202	69
I49.304	69
150.301	69
Q22.801	69
590.101	69
M47.121+G99.202*	69
I05.201	69
472.004	69
Z98.844	69
J05.101	69
J32.202	69
M67.802	68
523.103	68
620.101	68
V42.301	68
S87.801	68
837.001	68
I10  07	68
D38.102	68
O30.001	68
O60.101	67
C77.001	67
M87.991	67
D18.003	67
540.101	67
460  02	67
L80  01	67
C78.201	67
B91  01	67
R05  01	67
I21.102	66
M84.491	66
M80410/3	66
188.901	66
945.201	66
Q27.901	66
S56.801	66
D06.902	66
S62.001	66
423.903	66
K65.902	66
J03.906	66
C66  01	66
823.101	66
289.301	66
M25.591	65
E87.302	65
R58  01	65
S81.001	65
M51.302	65
782.202	65
S40.002	65
K74.610	65
G95.001	65
288.001	65
Q24.803	65
S92.203	65
M95600/0	65
S92.911	65
287.001	65
J98.405	65
L08.803	65
S79.902	65
D45  01 M99500/1	65
N13.502	65
569.402	65
730.201	65
S80.103	65
813.002	65
808.001	65
M19.992	65
995.202	65
196.102	64
S02.901	64
180.901	64
S62.701	64
219.001	64
D38.302	64
W27.901	64
653.401	64
S72.403	64
J69.001	64
412  04	64
574.504	64
848.902	64
784.201	64
576.001	63
530.806	63
N48.102	63
808.402	63
891.002	63
G47.001	63
S83.401	63
372.301	63
I84.203	63
T88.701	63
I36.101	63
161.901	63
Z98.872	62
455.601	62
M81700/3	62
I46.902	62
436  02	62
J45.904	62
571.201	62
K76.701	62
H43.101	62
660.301	62
S02.101	62
Z94.001	62
O64.002	62
M95900/3	62
G96.103	61
197.101	61
D16.201	61
D59.101	61
A05.901	61
S06.801	61
571.301	61
550.101	61
K28.902	61
604.903	61
K63.804	61
Z85.401	61
861.201	60
S76.102	60
E80.701	60
M81400/6	60
785.602	60
753.101	60
426.701	60
L02.208	60
O63.101	60
572.401	60
M46.492	60
S46.202	60
I25.901	60
I71.001	60
786.501	60
M23.291	60
S96.901	60
S72.311	60
I34.002	60
I80.301	60
C85.921 M95900/3	60
370.901	60
H35.301	59
L21.901	59
014  02+567.001*	59
V58.121	59
X30.901	59
C57.001	59
T58  01	59
Z98.837	59
S85.701	59
427.603	59
R22.401	59
Z51.138	59
R61.001	59
O00.102	59
G93.807	59
L25.901	59
M67.101	58
Z90.201	58
Q23.301	58
M89.392	58
716.901	58
O00.103	58
567.904	58
I85.902	58
S05.104	58
576.107	58
424.001	58
S73.001	58
E05.903+I43.802*	58
193  01	58
I06.101	58
825.203	58
Z98.842	58
G58.001	58
I40.001	58
628.901	58
533.901	58
I67.501	58
210.201	58
I49.804	58
907.001	58
727.501	58
B07  04	58
G40.601	58
228.006	57
800.001	57
H60.901	57
